PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40148240,Vildagliptin attenuates doxorubicin-induced hepatotoxicity via activating Nrf2/HO-1 and SIRT1 and suppressing NF-κB signals in rats.,2025 Mar 27,N/A,N/A,N/A
40148197,Rare gynaecological cancers in Malta - An analysis of incidence between 2010 and 2021.,2025 Mar 13,N/A,N/A,N/A
40148195,Switching to T-DM1 remains justified in patients with HER2-negative residual invasive breast cancer after neoadjuvant therapy.,2025 Mar 20,N/A,N/A,N/A
40148155,Tumor suppressive effect of low-frequency repetitive transcranial magnetic stimulation on glioblastoma progression.,2025 Mar 27,N/A,N/A,N/A
40148125,Atovaquone-Coordinated Copper-Polyphenol Nanoplatform Orchestrates Dual Metabolic Interference for Synergistic Cuproptosis and Apoptosis.,2025 Mar 27,N/A,N/A,N/A
40148078,Treatment of nephrotic syndrome with anti-CD20 therapies in pregnancy: a case series and review of the literature.,2025 Dec,N/A,N/A,N/A
40148044,Reciprocal interactions between glioma and tissue-resident cells fueling tumor progression.,2025,N/A,N/A,N/A
40148037,Vitamin D and its analogs in immune system regulation.,2025 Mar,N/A,N/A,N/A
40148035,"Shared molecular, cellular, and environmental hallmarks in cardiovascular disease and cancer: Any place for drug repurposing?",2025 Mar,N/A,N/A,N/A
40148034,Pharmacological strategies to bridge the gap between cancer and cardiovascular therapeutics.,2025 Mar,N/A,N/A,N/A
