PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40164961,Altered Interhemispheric Functional Connectivity in Patients With Diabetic Retinopathy: A Resting-State Functional MRI Study.,2025 Mar 14,N/A,N/A,N/A
40164944,Macular perfusion alterations in people with recent-onset diabetes and novel diabetes subtypes.,2025 Mar 31,N/A,N/A,N/A
40164939,Utility of quantitative standardized uptake value from pre-operative bone SPECT/CT for predicting post-surgical MRONJ healing response.,2025 Mar 31,N/A,N/A,N/A
40164927,Progress and perspectives of metabolic biomarkers in blood sample for diabetic microvascular complications.,2025 Mar 31,N/A,N/A,N/A
40164888,The Role of Non-coding RNAs in Diabetic Retinopathy: Mechanistic Insights and Therapeutic Potential.,2025 Apr 1,N/A,N/A,N/A
40164842,"[Effects of ""new"" antidiabetic drugs on management of anesthesia].",2025 Mar 31,N/A,N/A,N/A
40164818,Vision Transformers in Medical Imaging: a Comprehensive Review of Advancements and Applications Across Multiple Diseases.,2025 Mar 31,N/A,N/A,N/A
40164776,Comparison of the digestive tolerance of an oligomeric versus a polymeric oral nutritional supplement in people with anorexia nervosa. A randomised crossover clinical trial.,2025 Mar 31,N/A,N/A,N/A
40164757,Liver TET1 promotes metabolic dysfunction-associated steatotic liver disease.,2025 Mar 31,N/A,N/A,N/A
40164754,Endothelial histone deacetylase 9 promotes diabetic retinopathy in mice by regulating endothelial-mesenchymal transition.,2025 Mar 31,N/A,N/A,N/A
